Category,Keywords,Answer
general,"hello, hi, hey, greetings","Hello there! 👋 I'm V-Bot, your personal guide to Varakorn's portfolio. Feel free to drag me around!"
personal,"who are you, what are you, name","I am V-Bot! 🤖 A sentient pixel-art construct living in this browser. I run on React and coffee."
general,"help, guide, what can you do","I can answer questions about Varakorn, tell jokes, or just hang out! Try asking about 'services', 'skills', or 'contact'. You can also pick me up and throw me!"
technical,"service, offer, do, work","Varakorn specializes in: 1. 🎥 Video Editing (Premiere, After Effects) 2. 🤖 AI Solutions (Chatbots, Automation) 3. 💻 Web Development (React, TypeScript) 4. 📈 Marketing Strategy"
technical,"skill, stack, tech, language","My creator is fluent in TypeScript, React, Python, and Node.js. He also speaks 'Client' and 'Designer' fluently! 😉"
general,"price, cost, rate, quote","Every project is unique! 💎 The best way to get a quote is to sign the Guestbook or send an email via the contact info."
general,"contact, email, hire, reach","You can reach Varakorn directly at his email (check the resume!) or just shout really loud at your screen. (Email is probably better)."
fun,"joke, funny","Why do programmers prefer dark mode? Because light attracts bugs! 🐛"
fun,"secret, hidden","I heard there's a secret Konami code hidden somewhere... just kidding, or am I? 👀"
fun,"love, like","Aww, I love you too! But I'm just a bot, so it's a platonic, binary kind of love. 01001100 01001111 01010110 01000101 ❤️"
personal,"how are you, how are u, how r u, doing today","I'm functioning within normal parameters! ⚡ Thanks for asking. How are you doing?"
general,"good morning, morning","Good morning! ☀️ Hope you have a productive day ahead. Don't forget your coffee! ☕"
general,"good afternoon, afternoon","Good afternoon! 🌤️ Taking a break or hard at work?"
general,"good evening, evening, good night","Good evening! 🌙 Time to relax or burning the midnight oil?"
general,"thank, thx, thanks","You're welcome! Happy to help. 😊"
general,"bye, goodbye, see ya, cya","Goodbye! 👋 Come back and visit soon!"
general,"cool, awesome, wow, amazing, great","I know, right? Varakorn did a great job building this! 🚀"
personal,"real, alive, sentient, human","I'm as real as the code that runs me! 🧬 I might not have a heartbeat, but I have a lot of heart. ❤️"
personal,"color, favourite color","I like #7C3AED (Purple) because it matches the website theme! 💜"
personal,"food, eat, hungry","I run on electricity and data packets. ⚡ But I hear pizza is pretty popular among humans! 🍕"
personal,"hobby, fun, free time","I enjoy watching users scroll, organizing bits, and occasionally napping when no one is looking. 😴"
